
### Skeleton (220)
FJ1404M  FMA43887   muscle     Left adductor minimus
FJ1485M  FMA37706   muscle     Left anconeus
FJ2774   FMA46605   muscle     Left aryepiglotticus
FJ1486M  FMA37669   muscle     Left brachialis
FJ1487M  FMA38487   muscle     Left brachioradialis
FJ1405M  FMA264844  muscle     Left calcaneal tendon
FJ1524M  FMA81753   muscle     Left cervical rotator
FJ1449M  FMA46444   muscle     Left coccygeus
FJ2542   FMA46444   muscle     Left coccygeus
FJ1291   FMA49073   muscle     Left common tendinous ring
FJ1488M  FMA37666   muscle     Left coracobrachialis
FJ1555   FMA46293   muscle     Left digastric
FJ1560   FMA46293   muscle     Left digastric
FJ1578   FMA46293   muscle     Left digastric
FJ1489M  FMA38499   muscle     Left extensor carpi radialis brevis
FJ1490M  FMA38496   muscle     Left extensor carpi radialis longus
FJ1472M  FMA38508   muscle     Left extensor carpi ulnaris
FJ1517M  FMA38508   muscle     Left extensor carpi ulnaris
FJ1491M  FMA38505   muscle     Left extensor digiti minimi
FJ1492M  FMA38502   muscle     Left extensor digitorum
FJ1406M  FMA22549   muscle     Left extensor digitorum longus
FJ1407M  FMA51145   muscle     Left extensor hallucis brevis
FJ1408M  FMA22547   muscle     Left extensor hallucis longus
FJ1493M  FMA38526   muscle     Left extensor indicis
FJ1494M  FMA38520   muscle     Left extensor pollicis brevis
FJ1495M  FMA38523   muscle     Left extensor pollicis longus
FJ1452M  FMA13337   muscle     Left external oblique
FJ1409M  FMA22555   muscle     Left fibularis brevis
FJ1410M  FMA22553   muscle     Left fibularis longus
FJ1411M  FMA22551   muscle     Left fibularis tertius
FJ1412M  FMA37466   muscle     Left flexor accessorius
FJ1496M  FMA38461   muscle     Left flexor carpi radialis
FJ1413M  FMA37462   muscle     Left flexor digitorum brevis
FJ1414M  FMA65017   muscle     Left flexor digitorum longus
FJ1497M  FMA38480   muscle     Left flexor digitorum profundus
FJ1475M  FMA38471   muscle     Left flexor digitorum superficialis
FJ1499M  FMA38471   muscle     Left flexor digitorum superficialis
FJ1415M  FMA65015   muscle     Left flexor hallucis longus
FJ1469   FMA37389   muscle     Left flexor pollicis brevis
FJ1498M  FMA38484   muscle     Left flexor pollicis longus
FJ1416M  FMA22337   muscle     Left gemellus inferior
FJ1417M  FMA22335   muscle     Left gemellus superior
FJ2738   FMA46702   muscle     Left genioglossus
FJ1559   FMA46327   muscle     Left geniohyoid
FJ1418M  FMA22329   muscle     Left gluteus maximus
FJ1419M  FMA22331   muscle     Left gluteus medius
FJ1420M  FMA22333   muscle     Left gluteus minimus
FJ1421M  FMA43884   muscle     Left gracilis
FJ2739   FMA46704   muscle     Left hyoglossus
FJ1422M  FMA22323   muscle     Left iliacus
FJ1453M  FMA45859   muscle     Left iliococcygeus
FJ2544   FMA45859   muscle     Left iliococcygeus
FJ1526M  FMA22745   muscle     Left iliocostalis cervicis
FJ1527M  FMA22741   muscle     Left iliocostalis lumborum
FJ1528M  FMA22743   muscle     Left iliocostalis thoracis
FJ1423M  FMA58777   muscle     Left iliotibial tract
FJ1294   FMA49051   muscle     Left inferior oblique
FJ2740   FMA46636   muscle     Left inferior pharyngeal constrictor
FJ1295   FMA49047   muscle     Left inferior rectus
FJ1500M  FMA32548   muscle     Left infraspinatus muscle
FJ1551M  FMA22891   muscle     Left interspinalis thoracis
FJ2778   FMA46581   muscle     Left lateral crico-arytenoid
FJ1304   FMA49055   muscle     Left lateral rectus
FJ1306   FMA49049   muscle     Left levator palpebrae superioris
FJ1532M  FMA32541   muscle     Left levator scapulae
FJ2741   FMA46729   muscle     Left levator veli palatini
FJ1533M  FMA22756   muscle     Left longissimus capitis
FJ1534M  FMA22758   muscle     Left longissimus cervicis
